movie_genre,artist,album_name,track_name
comedy,Kyle Kinane,Loose in Chicago,Sodium Erythortbate
comedy,Mike Birbiglia,Sleepwalk with Me - Live,Wedding Story
comedy,Dan Cummins,Get Outta Here; Devil!,Get Rid of That Joke!
comedy,Chad Daniels,Busy Being Awesome,Tall Canadian Lady
comedy,Kevin Bloody Wilson,Klassic Kev,His Cock's Got Ribs
comedy,Bert Kreischer,Bert Bert Bert,Blacks in a Subway
comedy,Brian Regan,Epitome of Hyperbole,Movies and Parties
comedy,Mike Birbiglia,Sleepwalk with Me - Live,The Promise of Sleep
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called Quiet on Tha Set
comedy,Kathleen Madigan,Madigan Again,CD Airport Bar
comedy,Kyle Kinane,Loose in Chicago,Natural Flavorings and Coloring
comedy,Stephen Lynch;Laura Benanti,The Wedding Singer (Original Broadway Cast Recording),If I Told You
comedy,Kathleen Madigan,Madigan Again,Pot—The Gateway Drug
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called Compton's n the House
comedy,Kathleen Madigan,Bothering Jesus,K.C. Is the Garden of Eden
comedy,Pink Guy,Pink Season,Rice Balls
comedy,"""Weird Al"" Yankovic",Bad Hair Day,"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)"
comedy,Tenacious D,Post-Apocalypto,turd whistle
comedy,Matt Braunger,Shovel Fighter,Wdyl?
comedy,Jamie Kilstein,"Libel, Slander & Sedition",Obama and Hitler!
comedy,Jesse Joyce,Joyce To The World,Frequent Flyer
comedy,Michael Ian Black,Noted Expert,A Special Moment
comedy,Ben Bailey,Ben Bailey Live and Uncensored,Growing Pain
comedy,Doug Benson,Potty Mouth,It Is Written
comedy,Mitch Fatel,Public Display of Perversion,I Love Dogs and Cats
comedy,Chris Hardwick,Mandroid,Merica the Beautiful
comedy,Darryl Lenox,Super Bloom,Heightened Senses
comedy,John Pinette,Show Me The Buffet,Free Willy
comedy,Big Jay Oakerson,An American Storyteller,It's All in How You Look at It
comedy,Robert Schimmel,Life Since Then,Irresponsible Father
comedy,Christopher Titus,Angry Pursuit of Happiness,Chicken
comedy,Steve Rannazzisi,Breaking Dad,Life Insurance
comedy,Big Jay Oakerson,The Crowd Work Sessions: What's Your F@!?#ng Deal?!,Respect Your Own Asshole
comedy,Josh Sneed,Unacceptable,NASCAR
comedy,Stuart Thompson,Dandy Man,Dandy Man
comedy,Martin Lawrence,Doin' Time: Uncut,My Favorite Boxer
comedy,Big Jay Oakerson,An American Storyteller,O' Alaska
comedy,"""Weird Al"" Yankovic",Poodle Hat,Genius In France
comedy,Stephen Lynch,The Craig Machine,Whittlin' Man
comedy,Stephen Lynch,3 Balloons,Medieval Bush
comedy,Kyle Kinane,Death of the Party,I'll Be with You Tonight
comedy,Christopher Titus,Neverlution!,10 Year Bender
comedy,Sugar Sammy,"Canadian Tour Improv Moments, Vol. I",Halal vs Kosher
comedy,Kyle Kinane,Death of the Party,Dream Police
comedy,Brian Regan,Live from Radio City Music Hall,Tattoos
comedy,Dan Cummins,Get Outta Here; Devil!,Chiquita Charlie
comedy,Rodney Carrington,Morning Wood,Older Women
comedy,Stephen Lynch,The Craig Machine,D & D - Live 2005
comedy,Eugene Mirman,An Evening of Comedy in a Fake Underground Laboratory,Open / Wake up Call and Two Other Jokes
comedy,Stephen Lynch,The Craig Machine,Voices In My Head
comedy,Mike Birbiglia,Two Drink Mike,Two Drink Mike
comedy,Rodney Carrington,Morning Wood,"Rodney's Wife & Kids, Marriage, Vacations - Live"
comedy,Eugene Mirman,An Evening of Comedy in a Fake Underground Laboratory,Tea Party Website
comedy,Mike Birbiglia,My Secret Public Journal,Pachoo!
comedy,Kyle Kinane,Loose in Chicago,Sheep Casing
comedy,Brian Regan,Standing Up,Tv Shows
comedy,Chad Daniels,Busy Being Awesome,Class Reunion
comedy,Mike Birbiglia,Sleepwalk with Me - Live,The Missile
comedy,Dan Cummins,Get Outta Here; Devil!,Idiots of the Internet
comedy,Dan Cummins,Get Outta Here; Devil!,How Much Electricity Does It Take to Kill a Human Being?
comedy,Chad Daniels,Busy Being Awesome,Twelve Apostrophes
comedy,Kevin Bloody Wilson,Rides Again,Ol' Roy the Roota
comedy,Stephen Lynch;The Wedding Singer Ensemble,The Wedding Singer (Original Broadway Cast Recording),Casualty of Love
comedy,Kathleen Madigan,Madigan Again,Mom's All-Star Pills
comedy,Kevin Bloody Wilson,Kev's Back (The Return of the Yobbo),The Pubic Hair Song
comedy,Glenn Wool,Let Your Hands Go,Drunk Glenn
comedy,Lee Mack,"Just for Laughs - Archives, Vol. 39",Australian Ads (Jfl 2005)
comedy,Ian Edwards,"Live Nude Comedy, Vol. 1",Hitting On Your Wedding Guests
comedy,Iliza Shlesinger,War Paint,Girl Gps
comedy,Craig Ferguson,I'm Here to Help,I Don't Do Drugs
comedy,Robert Schimmel,Life Since Then,Swimming with a Dolphin
comedy,Eddie Della Siepe,Little Jerk,Older Parents
comedy,Adam Ferrara,Funny as Hell,Jewish Food & The Better Half Part 2
comedy,Billy Gardell,Halftime,Old Couple
comedy,Louis Katz,If These Balls Could Talk,D.A.R.E. & Sex Ed
comedy,Rodney Carrington,Nut Sack,Tips On Marriage - Live
comedy,Robert Schimmel,Life Since Then,Bargaining with God
comedy,Steve Rannazzisi,Breaking Dad,Around the House
comedy,Aunty Donna,The Album,Fuccboi Anthem
comedy,Wyatt Cenac,Furry Dumb Fighter,Some Thoughts on the Confederate Flag
comedy,Robert Schimmel,Life Since Then,Go Lightly
comedy,Big Jay Oakerson,The Crowd Work Sessions: What's Your F@!?#ng Deal?!,God Loves Fags?
comedy,Stuart Thompson,Dandy Man,Gun Range
comedy,Mike Birbiglia,My Girlfriend's Boyfriend,Hi
comedy,Mike Epps,Under Rated... Never Faded & X-Rated,Bin Laden Money
comedy,Josh Sneed,Unacceptable,Keeping My Muscles Warm
comedy,Christian Finnegan,Two for Flinching,Fireworks Are Lame
comedy,Patton Oswalt,Talking for Clapping,Mei-Mei's Hair
comedy,Kyle Kinane,Death of the Party,Voices
comedy,Jeff Foxworthy,Redneck 12 Days of Christmas,Redneck 12 Days of Christmas
comedy,Stephen Lynch,Lion (Stephen Lynch),Tennessee
comedy,Chad Daniels,Busy Being Awesome,Fox Paws
comedy,Patton Oswalt,Talking for Clapping,Parents and Pills
comedy,Christopher Titus,Norman Rockwell is Bleeding,Normal vs. Screwed Up
comedy,Bret Ernst,American Comic,Strawberry Lemonade
comedy,Kathleen Madigan,Bothering Jesus,Confession
comedy,Katt Williams,Pimp Chronicles Pt.1,Nuh Uh Mr. Jackson
comedy,Brian Regan,Live from Radio City Music Hall,Fancy Restaurants
comedy,Hva Snakker Du Om?;Anders Matthesen;Bossy Bo,Den Ka' Byttes V:O:L:01:00,Kender De Det?
comedy,Katt Williams,Pimp Chronicles Pt.1,Drinking With White People
comedy,Steve Martin;Steep Canyon Rangers,Rare Bird Alert,King Tut
comedy,"""Weird Al"" Yankovic","""Weird Al"" Yankovic",I'll Be Mellow When I'm Dead
comedy,Matt Braunger,Shovel Fighter,Cheese Babies and a Hot Boy
comedy,Kyle Kinane,Death of the Party,The House is Rockin' (with Domestic Problems)
comedy,Chris D'Elia,White Male. Black Comic.,Church Is Creepy
comedy,Kyle Kinane,Death of the Party,Gonna Raise Hell
comedy,Dan Cummins,Get Outta Here; Devil!,Get Outta Here Devil!
comedy,Chas & Dave,Gold,The Diddlum Song (Diddle-Umma-Day)
comedy,Dan Cummins,Get Outta Here; Devil!,Put Your Lady Ween on That Screen
comedy,Stephen Lynch,Superhero,"Bowling Song (Almighty Malachi, Professional Bowling God)"
comedy,Kevin Bloody Wilson,Kev's Back (The Return of the Yobbo),It Was Over (Kev's Lament)
comedy,Kathleen Madigan,Bothering Jesus,I Ruined Christmas
comedy,Kathleen Madigan,Madigan Again,Muslims and Catholics
comedy,"""Weird Al"" Yankovic","The Essential ""Weird Al"" Yankovic",The Night Santa Went Crazy
comedy,Kathleen Madigan,Gone Madigan,The Irish & Drinking
comedy,Afroman;Yung Fate;DJLeach;Jake Strain,420,420
comedy,Tenacious D,The Pick Of Destiny,Kickapoo
comedy,Keith Alberstadt,Walk It Off,New Home
comedy,Simon King,As Good As Or Better Than,Racism
comedy,Micky Flanagan,Back In the Game,Weddings
comedy,Iliza Shlesinger,War Paint,Second-Hand Cattery
comedy,Ryan Stout,Touché,Afflictions
comedy,Billy Gardell,Halftime,The Boy
comedy,Wyatt Cenac,Furry Dumb Fighter,Humans on the Internet
comedy,Billy Gardell,Halftime,Downloading Childhood
comedy,Louie Anderson,Big Underwear,Health Nuts
comedy,Marc Maron,Thinky Pain,Roosters
comedy,Doug Benson,Potty Mouth,Mush Brain
comedy,Todd Glass,Todd Glass Talks About Stuff,People Say They Don't Watch Tv
comedy,Glenn Wool,Let Your Hands Go,Why You Shouldn't Do Topical Material on Albums
comedy,Tim Wilson,Church League Softball Fistfight,Church League Softball Fistfight
comedy,Stephen Lynch,The Craig Machine,Mixer at Delta Chi
comedy,Stuart Thompson,Dandy Man,The Gym
comedy,Mitch Fatel,Public Display of Perversion,I Love Gays
comedy,Tim Wilson,Certified Aluminum: His Greatest Recycled Hits Volume 1,The Jeff Gordon Song
comedy,Shane Mauss,Jokes to Make My Parents Proud,"Mushrooms, Vegan"
comedy,Steve Rannazzisi,Breaking Dad,The 3 Year Old
comedy,Martin Lawrence,Doin' Time: Uncut,America's Dad
comedy,Josh Sneed,Unacceptable,Giving up My Belly Button for Lint
comedy,Pablo Francisco,Knee To The Groin,Psycho Women / Species
comedy,Mike Birbiglia,My Girlfriend's Boyfriend,You Seem Cool
comedy,David Cross,"Oh, Come On","How the Sausage Is Made (Couples Colonic, Pt. 4)"
comedy,Patton Oswalt,Talking for Clapping,The Silver Balloon
comedy,Sebastian Maniscalco,Sebastian LIVE,All Starts on the First Date
comedy,"""Weird Al"" Yankovic","""Weird Al"" Yankovic",Gotta Boogie
comedy,Larry The Cable Guy,Remain Seated,Buffets & Scoring
comedy,Katt Williams,Pimp Chronicles Pt.1,Holla If You Hear Me
comedy,Ralphie May,Just Correct,We Fuck with Minorities
comedy,Dan Cummins,Get Outta Here; Devil!,The Semicolon
comedy,Dan Cummins,Get Outta Here; Devil!,The Art of Whispering
comedy,Chad Daniels,Busy Being Awesome,Anastasia Seabiscuit
comedy,Dan Cummins,Get Outta Here; Devil!,Ku Klux Clown
comedy,Mike Birbiglia,Two Drink Mike,I'm Crazy and Gay Cats
comedy,Sebastian Maniscalco,Sebastian LIVE,An Italian Christmas
comedy,Brian Regan,Standing Up,Politics
comedy,Brian Regan,Live from Radio City Music Hall,Impatient New Yorkers
comedy,Mike Birbiglia,My Secret Public Journal,Put It on Paper
comedy,Mike Birbiglia,Two Drink Mike,"Sex, Tennis, And Pandas"
comedy,Patton Oswalt,Talking for Clapping,Movies and Men and Women and Birth
comedy,Kevin Bloody Wilson,Rides Again,A Place Called...
comedy,Chad Daniels,Busy Being Awesome,Eat Your Carrots
comedy,Dan Cummins,Get Outta Here; Devil!,Getting My Zapples Riled
comedy,Dan Cummins,Get Outta Here; Devil!,Prune That Family Tree Right at the Stump
comedy,Kathleen Madigan,Madigan Again,Parents
comedy,Professor Elemental,Professor Elemental and His Amazing Friends,All in Together (GnT Remix)
comedy,The Lonely Island;Adam Levine;Kendrick Lamar,The Wack Album,YOLO
comedy,Dirt Nasty;Too $hort,Palatial,Bang Her (feat. Too $hort)
comedy,Andrew Norelli,Cut Above Stupid,Stubborn Belly Fat
comedy,John Bishop,The Sunshine Tour,An Apology
comedy,Jim Florentine;Don Jamieson,Terrorizing Telemarketers 7,Covid Mask
comedy,Stephen Lynch,Lion (Stephen Lynch),Lion
comedy,Michael Loftus,You've Changed,Firetrucks
comedy,Micky Flanagan,The Out Out Tour,Out Out
comedy,Tom Papa,Freaked Out,21st Century
comedy,Katie Hannigan,Feeling of Emptiness,Having Kids
comedy,Tom Papa,Freaked Out,Big Stress
comedy,Iliza Shlesinger,War Paint,Girl's Night
comedy,Mo Mandel,Negative Reinforcement,Add and Ocd
comedy,Kevin Nealon,Whelmed…but Not Overly,Skiing the Blacks
comedy,Andrew Orvedahl,Hit the Dick Lights,Title Track
comedy,Iliza Shlesinger,War Paint,It's a Prison Workout
comedy,Bruce Bruce,Losin' It,Get A Physical
comedy,Andi Smith,Bronze Digger,It Changes Everything
comedy,Jim Florentine;Don Jamieson,Terrorizing Telemarketers 7,Solar Panels
comedy,Jeff Foxworthy,Sold Out,Money Fights
comedy,Rachel Feinstein,Only Whores Wear Purple,Joking After Sex
comedy,Jeff Allen,Three Word Vocabulary,Puberty
comedy,Glenn Wool,Let Your Hands Go,"Kurt Warner, Thank God"
comedy,Kurt Braunohler,Trust Me,Satellite Radio / Jimmy Buffet
comedy,Tommy Ryman,Having the Time of My Life,International Snack Smuggler
comedy,Jeff Foxworthy,The Redneck Test,Southern Words
comedy,Froggy Fresh,Money Maker Reloaded,Christmas
comedy,Mike Epps,Under Rated... Never Faded & X-Rated,The New Ike Turner
comedy,Dan Levy,Congrats on Your Success,I Used to Be Really Cool
comedy,Steve Rannazzisi,Breaking Dad,The Rob Konrad Story
comedy,Jamie Kilstein,"Libel, Slander & Sedition",When You Bomb Several Countries Bad Shit Happens
comedy,Christopher Titus,Neverlution!,Neverlution
comedy,Frank Caliendo,Material from the FrankCaliendo.com Giggles Shakey Cam DVD,Bradshaw's Buddy
comedy,Rodney Carrington,Morning Wood,All About Sex - Live
comedy,Mike Birbiglia,My Girlfriend's Boyfriend,My Girlfriend's Boyfriend
comedy,Mike Birbiglia,My Secret Public Journal,Jack & Irma's Magic Phones
comedy,Seething Fuck Patties,Greatest Shits,I Fucked A Sasquatch
comedy,Chris D'Elia,White Male. Black Comic.,Black Dudes
comedy,Kyle Kinane,Death of the Party,Writing on the Wall
comedy,Mike Birbiglia,My Girlfriend's Boyfriend,Winter in Bermuda
comedy,Stephen Lynch,Superhero,What If That Guy from Smashing Pumpkins Lost His Car Keys?
comedy,Sebastian Maniscalco,Sebastian LIVE,People Are Disgusting
comedy,Chad Daniels,Busy Being Awesome,Thanksgiving Chicken
comedy,Kathleen Madigan,Madigan Again,PBS
comedy,Dan Cummins,Get Outta Here; Devil!,I Hope This Helps
comedy,Bert Kreischer,Bert Bert Bert,Mexicans in an Elevator
comedy,Dan Cummins,Get Outta Here; Devil!,Very Hungry Lion Island
comedy,Kathleen Madigan,Gone Madigan,My Family
comedy,Dan Cummins,Get Outta Here; Devil!,True Gender Equality
comedy,Kathleen Madigan,Gone Madigan,Banks
comedy,The Lonely Island;Justin Timberlake,Incredibad,Dick In A Box
comedy,Afroman,The Good Times,Because I Got High - Extended Version
comedy,Stephen Lynch,Lion (Stephen Lynch),No Meat
comedy,Jim Florentine;Don Jamieson,Terrorizing Telemarketers 7,Fiance
comedy,Baron Vaughn,Raised by Cable,Vegas
comedy,Afroman,2000s Hip Hop,Crazy Rap (Colt 45 & 2 Zig Zags)
comedy,Andi Smith,Bronze Digger,Surprise!
comedy,Ian Edwards,100% Half-Assed,14 Years in Jail
comedy,Billy Gardell,Halftime,Encore
comedy,Chris Robinson,"Gut Bussa, Vol. 1",Underwear
comedy,Ian Edwards,100% Half-Assed,A Good Black Leader
comedy,Tommy Ryman,Having the Time of My Life,Rip Lex Luthor
comedy,Simon King,As Good As Or Better Than,Let's All Hate Steve
comedy,Aunty Donna,The Album,Professor Whiskers
comedy,Iliza Shlesinger,War Paint,Boarding Zones
comedy,Big Jay Oakerson,Live at Webster Hall,Asian Guy Crowd Work
comedy,Jeff Foxworthy,Sold Out,Working Woman
comedy,Big Jay Oakerson,Live at Webster Hall,Cape Cod People
