movie,genre,title
Bergerac_(TV_series),Drama_(film_and_television),Bergerac (TV series)
Bermuda_Tentacles,Sci-Fi,Bermuda Tentacles
Bermuda_Tentacles,Action_(genre),Bermuda Tentacles
Bermuda_Tentacles,Thriller_(genre),Bermuda Tentacles
Bermuda_Tentacles,Horror_(genre),Bermuda Tentacles
Bernard_and_the_Genie,Comedy_drama,Bernard and the Genie
Bernard_and_the_Genie,Supernatural_fiction,Bernard and the Genie
Bernard_and_the_Genie,Fantasy_film,Bernard and the Genie
Best:_His_Mother's_Son,Comedy_drama,Best: His Mother's Son
Between_Brothers,Sitcom,Between Brothers
Big_(TV_series),Romance_film,Big (TV series)
Big_(TV_series),Comedy,Big (TV series)
Big_(TV_series),Drama,Big (TV series)
Big_(TV_series),Fantasy,Big (TV series)
Big_Brother_Jake,Situation_comedy,Big Brother Jake
Big_Day,Sitcom,Big Day
Big_Time_Movie,Comedy_film,Big Time Movie
Big_Time_Movie,Action_film,Big Time Movie
Big_Time_Movie,Buddy_film,Big Time Movie
Big_Time_Movie,Musical_film,Big Time Movie
Big_Time_Movie,Spy_film,Big Time Movie
Billion_Dollar_Day,Documentary_film,Billion Dollar Day
Billy_(1992_TV_series),Situation_comedy,Billy (1992 TV series)
Billy_the_Kid_(1989_film),Western_film,Billy the Kid (1989 film)
Bituing_Walang_Ningning,Romance_film,Bituing Walang Ningning
Bituing_Walang_Ningning,Music,Bituing Walang Ningning
Bituing_Walang_Ningning,Drama_(film_and_television),Bituing Walang Ningning
Black_Heart_White_Soul,Thriller_(genre),Black Heart White Soul
Black_Noon,Horror_film,Black Noon
Black_Noon,Western_(genre),Black Noon
Blackadder:_Back_&_Forth,Satire,Blackadder: Back & Forth
Blackadder:_Back_&_Forth,Comedy,Blackadder: Back & Forth
Blackadder:_Back_&_Forth,Science_fiction,Blackadder: Back & Forth
Blackadder:_The_Cavalier_Years,Period_piece,Blackadder: The Cavalier Years
Blackadder:_The_Cavalier_Years,Situational_comedy,Blackadder: The Cavalier Years
Blackout_(1985_film),Thriller_film,Blackout (1985 film)
Bleak_House_(1959_TV_serial),Serial_(radio_and_television),Bleak House (1959 TV serial)
Bleak_House_(2005_TV_serial),Serial_drama,Bleak House (2005 TV serial)
Blind_Justice_(1986_film),Drama_film,Blind Justice (1986 film)
Blockade_(video_game),Snake_(video_game_genre),Blockade (video game)
Blood_Bowl_(1995_video_game),Turn-based_strategy,Blood Bowl (1995 video game)
Blood_Bowl_(1995_video_game),Sports_game,Blood Bowl (1995 video game)
Blue_Lagoon:_The_Awakening,Romance_film,Blue Lagoon: The Awakening
Blue_Lagoon:_The_Awakening,Teen_film,Blue Lagoon: The Awakening
Bob_(TV_series),Sitcom,Bob (TV series)
Bob_Martin_(TV_series),Sitcom,Bob Martin (TV series)
Bodies_(TV_series),Medical_drama,Bodies (TV series)
Bonnie_(TV_series),Situation_comedy,Bonnie (TV series)
Boom_Bang-a-Bang:_50_Years_of_Eurovision,Music,Boom Bang-a-Bang: 50 Years of Eurovision
Boris_and_Natasha:_The_Movie,Comedy_film,Boris and Natasha: The Movie
Boston_Legal,Legal_drama,Boston Legal
Boston_Legal,Comedy_drama,Boston Legal
Bounty_Lady,Comedy,Bounty Lady
Bounty_Lady,Dramatic_programming,Bounty Lady
Bowerbirds:_The_Art_of_Seduction,Documentary_film,Bowerbirds: The Art of Seduction
Bracken_(TV_series),Soap_opera,Bracken (TV series)
Brass_(TV_series),Comedy_drama,Brass (TV series)
Brave_(video_game),Action-adventure_game,Brave (video game)
Breach_of_Conduct,Thriller_film,Breach of Conduct
Breach_of_Faith:_A_Family_of_Cops_2,Crime_film,Breach of Faith: A Family of Cops 2
Brian_Freemantle,Thriller_(genre),Brian Freemantle
Brick_Slaves,Dramatic_programming,Brick Slaves
Bridge_Across_Time,Horror_film,Bridge Across Time
Bridge_Across_Time,Drama_film,Bridge Across Time
Bridge_to_Terabithia_(1985_film),Fantasy_film,Bridge to Terabithia (1985 film)
Brigada_Siete,Documentary,Brigada Siete
Daughter_of_Darkness_(1990_film),Horror_film,Daughter of Darkness (1990 film)
David_Attenborough's_Natural_History_Museum_Alive,Television_documentary,David Attenborough's Natural History Museum Alive
David_Attenborough's_Rise_of_Animals:_Triumph_of_the_Vertebrates,Television_documentary,David Attenborough's Rise of Animals: Triumph of the Vertebrates
David_Bergeaud,Electronica,David Bergeaud
David_Bergeaud,Breakbeat,David Bergeaud
David_Bergeaud,Video_game_music,David Bergeaud
David_Bergeaud,Industrial_music,David Bergeaud
David_Bergeaud,Trip_hop,David Bergeaud
David_Bergeaud,Film_score,David Bergeaud
David_Bergeaud,World_music,David Bergeaud
David_Bergeaud,Rock_music,David Bergeaud
David_Bergeaud,Orchestral_music,David Bergeaud
Dawn_of_Humanity,Documentary_film,Dawn of Humanity
Dead_Man's_Island,Mystery_film,Dead Man's Island
Dead_Set,Satire,Dead Set
Dead_Set,Comedy-drama,Dead Set
Dead_Set,Horror_fiction,Dead Set
Dead_Set,Action_fiction,Dead Set
Dead_on_Target_(film),Drama,Dead on Target (film)
Dead_on_Target_(film),Action_(genre),Dead on Target (film)
Deadly_Messages,Mystery_film,Deadly Messages
Deadly_Messages,Horror_film,Deadly Messages
Deadly_Messages,Thriller_film,Deadly Messages
Deadwood_(TV_series),Western_(genre),Deadwood (TV series)
Deadwood_(TV_series),Historical_drama,Deadwood (TV series)
Deadwood_(TV_series),Serial_(radio_and_television),Deadwood (TV series)
Deal_Ya_No_Deal,Game_show,Deal Ya No Deal
Deal_or_No_Deal_Nigeria,Game_show,Deal or No Deal Nigeria
Dean_Vincent_Carter,Horror_fiction,Dean Vincent Carter
Dean_Vincent_Carter,Fantasy,Dean Vincent Carter
Dear_Heaven,Romance_film,Dear Heaven
Dear_Heaven,Melodrama,Dear Heaven
Death_Train,Action_film,Death Train
Death_Train,Thriller_film,Death Train
Death_at_Love_House,Mystery_film,Death at Love House
Death_at_Love_House,Horror_film,Death at Love House
Degrassi_Talks,Video_journalism,Degrassi Talks
